username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,nt_self_bail_loss_ratio,t_self_bail_loss_ratio,suspicion_score,reasons
ohnomy_knight,35,23,2,10,6.599953,5.255764,1.255755,34,22,2,10,6.454782,5.255764,1.228134,1,1,0,0,0.145171,0.000000,145170822.468240,-145170821.240106,0.304348,0.086957,0.687500,1.000000,-0.312500,0.000000,0.700000,0.00,
ol_dirty_bispo,3,3,0,0,0.915178,0.000000,915178155.324600,2,2,0,0,0.893648,0.000000,893647986.282890,1,1,0,0,0.021530,0.000000,21530169.041709,872117817.241181,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.00,
robibenve,15,5,2,8,2.048278,2.974935,0.688512,8,2,1,5,1.359892,1.497386,0.908177,7,3,1,3,0.688386,1.477549,0.465897,0.442280,0.000000,0.600000,0.285714,0.500000,-0.214286,0.666667,0.600000,0.00,
rob_1986,14,7,1,6,4.312149,1.745002,2.471143,13,7,1,5,4.312149,1.480879,2.911884,1,0,0,1,0.000000,0.264123,0.000000,2.911884,0.571429,0.142857,0.583333,0.000000,0.583333,0.000000,0.000000,0.00,
rolinowsky1,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
s-p-r-i-n-t-e-r77,18,13,0,5,3.972311,1.702234,2.333587,10,5,0,5,2.540618,1.702234,1.492520,8,8,0,0,1.431692,0.000000,1431692162.522206,-1431692161.029686,0.000000,0.230769,0.500000,1.000000,-0.500000,0.000000,0.800000,0.00,
soylionking,1,1,0,0,0.607661,0.000000,607661064.126820,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.607661,0.000000,607661064.126820,-607661064.126820,1.000000,0.000000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.00,
stihl088,17,9,0,8,4.128217,1.496983,2.757692,8,5,0,3,2.865757,0.301009,9.520488,9,4,0,5,1.262460,1.195973,1.055592,8.464895,0.111111,0.222222,0.625000,0.444444,0.180556,0.000000,0.333333,0.00,
ultrakingpanda,4,2,0,2,1.058871,0.026122,40.535246,0,0,0,0,0.000000,0.000000,0.000000,4,2,0,2,1.058871,0.026122,40.535246,-40.535246,0.500000,0.000000,0.000000,0.500000,-0.500000,1.000000,0.000000,0.00,
xxmomoxxx,16,0,0,16,0.000000,10.792062,0.000000,14,0,0,14,0.000000,8.792872,0.000000,2,0,0,2,0.000000,1.999190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.428571,0.00,
yingjunguan,9,5,0,4,1.757411,1.808009,0.972015,8,4,0,4,1.414530,1.808009,0.782369,1,1,0,0,0.342881,0.000000,342881313.512921,-342881312.730552,0.000000,0.800000,0.500000,1.000000,-0.500000,0.000000,0.500000,0.00,
young_obee,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
yuriy_leonidov,4,4,0,0,1.020891,0.000000,1020891176.233242,0,0,0,0,0.000000,0.000000,0.000000,4,4,0,0,1.020891,0.000000,1020891176.233242,-1020891176.233242,0.000000,0.750000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.00,
1-mezwinna-1,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
1germanythailand,10,5,0,5,2.486280,1.102750,2.254618,1,0,0,1,0.000000,0.214973,0.000000,9,5,0,4,2.486280,0.887777,2.800569,-2.800569,0.200000,0.200000,0.000000,0.555556,-0.555556,0.750000,0.000000,0.00,
albinegre_288,27,16,5,6,4.148117,3.643742,1.138422,10,4,0,6,1.382395,3.450443,0.400643,17,12,5,0,2.765722,0.193299,14.307976,-13.907333,0.062500,0.687500,0.400000,1.000000,-0.600000,0.000000,0.500000,0.00,
