username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
ahunov-nuriddin,10,5,1,4,2.562432,0.743411,3.446859,4,1,0,3,0.348088,0.602474,0.577764,6,4,1,1,2.214344,0.140937,15.711590,-15.133826,0.200000,0.200000,0.250000,0.800000,-0.550000,0.00,
alalper2,1,1,0,0,0.090434,0.000000,90434469.192566,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.090434,0.000000,90434469.192566,-90434469.192566,0.000000,0.000000,0.000000,1.000000,-1.000000,0.00,
alejandrojacama,26,17,1,8,4.512457,3.320827,1.358835,18,10,1,7,2.654401,2.920223,0.908972,8,7,0,1,1.858056,0.400603,4.638146,-3.729174,0.117647,0.470588,0.588235,0.875000,-0.286765,0.00,
alex_ns,14,8,2,4,2.422479,1.127225,2.149065,0,0,0,0,0.000000,0.000000,0.000000,14,8,2,4,2.422479,1.127225,2.149065,-2.149065,0.000000,1.000000,0.000000,0.666667,-0.666667,0.00,
alitas14,6,4,0,2,1.036289,0.598146,1.732502,4,2,0,2,0.982769,0.598146,1.643026,2,2,0,0,0.053520,0.000000,53519813.044284,-53519811.401258,0.250000,0.000000,0.500000,1.000000,-0.500000,0.00,
amaybemanda,1,0,0,1,0.000000,0.055913,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.055913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
amr_sherif,12,2,0,10,0.298348,1.397803,0.213441,12,2,0,10,0.298348,1.397803,0.213441,0,0,0,0,0.000000,0.000000,0.000000,0.213441,0.000000,0.000000,0.166667,0.000000,0.166667,0.00,
chavoux,26,14,1,11,6.831842,4.284534,1.594536,25,13,1,11,6.520616,4.284534,1.521896,1,1,0,0,0.311226,0.000000,311226431.331287,-311226429.809391,0.214286,0.142857,0.541667,1.000000,-0.458333,0.00,
chessymohamed_rashid,7,3,4,0,0.999705,0.000000,999704808.144544,0,0,0,0,0.000000,0.000000,0.000000,7,3,4,0,0.999705,0.000000,999704808.144544,-999704808.144544,0.666667,0.000000,0.000000,1.000000,-1.000000,0.00,
dg09chess,4,1,0,3,0.438432,1.456899,0.300935,4,1,0,3,0.438432,1.456899,0.300935,0,0,0,0,0.000000,0.000000,0.000000,0.300935,0.000000,0.000000,0.250000,0.000000,0.250000,0.00,
goodie50,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
greatreader4231,32,7,0,25,3.058873,9.753605,0.313615,12,1,0,11,0.675040,5.001327,0.134972,20,6,0,14,2.383832,4.752278,0.501619,-0.366647,0.142857,0.142857,0.083333,0.300000,-0.216667,0.00,
kavin1000,18,12,0,6,2.970601,2.426470,1.224248,17,12,0,5,2.970601,2.378217,1.249088,1,0,0,1,0.000000,0.048253,0.000000,1.249088,0.333333,0.333333,0.705882,0.000000,0.705882,0.00,
keitchris,51,22,4,25,8.213200,9.273262,0.885686,15,5,1,9,2.159713,1.345194,1.605503,36,17,3,16,6.053487,7.928069,0.763551,0.841952,0.045455,0.454545,0.357143,0.515152,-0.158009,0.00,
kinaole,37,13,0,24,5.134610,7.370046,0.696686,25,10,0,15,3.153275,3.603461,0.875068,12,3,0,9,1.981335,3.766585,0.526030,0.349039,0.230769,0.153846,0.400000,0.250000,0.150000,0.00,
magnushomes,11,9,0,2,2.796059,1.028763,2.717886,11,9,0,2,2.796059,1.028763,2.717886,0,0,0,0,0.000000,0.000000,0.000000,2.717886,0.000000,0.333333,0.818182,0.000000,0.818182,0.00,
massivewombat,10,5,0,5,0.726776,1.866237,0.389434,6,1,0,5,0.406145,1.866237,0.217628,4,4,0,0,0.320632,0.000000,320631581.424439,-320631581.206812,0.000000,0.400000,0.166667,1.000000,-0.833333,0.00,
miheto,46,31,2,13,7.076757,6.352219,1.114061,36,25,1,10,4.743598,4.670716,1.015604,10,6,1,3,2.333159,1.681503,1.387544,-0.371940,0.322581,0.354839,0.714286,0.666667,0.047619,0.00,
