username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
yuriy_leonidov,4,4,0,0,1,4,4,0,0,1,4,4,0,0,0.75,0,0,0,0,0,4,4,0,0,1,-1,0,
ahunov-nuriddin,9,4,1,4,0.5,9,4,1,4,0.5,0,7,0,0,0.25,4,1,0,3,0.25,5,3,1,1,0.75,-0.5,0,
albopeng,29,17,0,12,0.5862,29,17,0,12,0.5862,0,7,0,0,0.2353,28,17,0,11,0.6071,1,0,0,1,0,0.6071,0,
alex_ns,14,8,2,4,0.6667,14,8,2,4,0.6667,1,5,0,0,1,0,0,0,0,0,14,8,2,4,0.6667,-0.6667,0,
alitas14,6,4,0,2,0.6667,6,4,0,2,0.6667,0,3,0,0.25,0,4,2,0,2,0.5,2,2,0,0,1,-0.5,0,
anton080963,109,4,0,1,0.0367,109,4,0,1,0.0367,1,3,0,0.5,0.5,70,1,0,1,0.0143,39,3,0,0,0.0769,-0.0626,0,
ccx2023,29,13,2,14,0.4815,29,13,2,14,0.4815,5,5,0,0.0769,0.3077,21,10,2,9,0.5263,8,3,0,5,0.375,0.1513,0,
cealoch,68,25,8,35,0.4167,68,25,8,35,0.4167,3,3,0,0.08,0.4,29,14,4,11,0.56,39,11,4,24,0.3143,0.2457,0,
chavoux,23,13,1,9,0.5909,23,13,1,9,0.5909,2,7,1,0.2308,0.1538,22,12,1,9,0.5714,1,1,0,0,1,-0.4286,0,
daretousesoftware,16,7,2,7,0.5,16,7,2,7,0.5,3,3,0,0.1429,0.8571,9,4,1,4,0.5,7,3,1,3,0.5,0,0,
dg09chess,4,1,0,3,0.25,4,1,0,3,0.25,0,1,0,0,0,4,1,0,3,0.25,0,0,0,0,0,0.25,0,
firstover10,12,3,1,8,0.2727,12,3,1,8,0.2727,0,2,0,0,0.3333,8,2,0,6,0.25,4,1,1,2,0.3333,-0.0833,0,
ginja19,24,17,0,7,0.7083,24,17,0,7,0.7083,0,10,2,0.3529,0.1765,20,14,0,6,0.7,4,3,0,1,0.75,-0.05,0,
goodie50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
massivewombat,10,5,0,5,0.5,10,5,0,5,0.5,1,4,0,0,0.4,6,1,0,5,0.1667,4,4,0,0,1,-0.8333,0,
miheto,42,30,2,10,0.75,42,30,2,10,0.75,1,9,0,0.3,0.3667,32,24,1,7,0.7742,10,6,1,3,0.6667,0.1075,0,
munja44,311,157,20,134,0.5395,311,157,20,134,0.5395,0,9,1,0.0828,0.4841,308,156,20,132,0.5417,3,1,0,2,0.3333,0.2083,0,
n4nni13,3,2,0,1,0.6667,3,2,0,1,0.6667,0,2,0,0,0.5,0,0,0,0,0,3,2,0,1,0.6667,-0.6667,0,
ninjaswat,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
ohnomy_knight,35,23,2,10,0.697,35,23,2,10,0.697,1,7,1,0.3043,0.087,34,22,2,10,0.6875,1,1,0,0,1,-0.3125,0,
